name,breed,image,weratedogs_rating,text,retweet_count,favorite_count,link_to_tweet,timestamp,tweet_id,rating
Canela,Pembroke,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,13,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her ,18781,69871,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",2017-07-19 00:47:34,887473957103951883,13
Maya,Chihuahua,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,13,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in ,8084,35859,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",2017-07-17 16:17:36,886983233522544640,13
Mingus,Kuvasz,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,13,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

 ",3443,12306,"https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",2017-07-16 23:58:41,886736880519319552,13
Derek,Not A Dog,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,13,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal ,4610,22798,https://twitter.com/dog_rates/status/886680336477933568/photo/1,2017-07-16 20:14:00,886680336477933568,13
Roscoe,French Bulldog,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,12,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe ,3316,21524,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",2017-07-15 23:25:31,886366144734445568,12
Waffles,Pug,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,13,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles ,6523,28469,https://twitter.com/dog_rates/status/886258384151887873/photo/1,2017-07-15 16:17:19,886258384151887873,13
Maisey,Pug,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,13,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly ,6683,36689,https://twitter.com/dog_rates/status/885528943205470208/photo/1,2017-07-13 15:58:47,885528943205470208,13
Earl,Italian Greyhound,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,12,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl ",16439,68152,https://twitter.com/dog_rates/status/884925521741709313/photo/1,2017-07-12 00:01:00,884925521741709313,12
Lola,Chow,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,13,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola ,6096,28514,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",2017-07-11 20:47:12,884876753390489601,13
Kevin,Pug,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,13,This is Kevin. He's just so happy. 13/10 what is your secret Kevin ,5100,24765,https://twitter.com/dog_rates/status/884562892145688576/photo/1,2017-07-11 00:00:02,884562892145688576,13
Noah,Doberman,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,12,This is Noah. He can't believe someone made this mess. Got the vacuum out for you though. Offered to help clean pup. 12/10 super good boy ,3586,22349,https://twitter.com/dog_rates/status/883838122936631299/photo/1,2017-07-09 00:00:04,883838122936631299,12
Bella,Golden Retriever,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,5,"This is Bella. She hopes her smile made you smile. If not, she is also offering you her favorite monkey. 13.5/10 ",10407,46860,"https://twitter.com/dog_rates/status/883482846933004288/photo/1,https://twitter.com/dog_rates/status/883482846933004288/photo/1",2017-07-08 00:28:19,883482846933004288,5
Rusty,Eskimo Dog,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,13,This is Rusty. He wasn't ready for the first pic. Clearly puppared for the second. 13/10 confirmed great boy ,4122,24445,"https://twitter.com/dog_rates/status/882992080364220416/photo/1,https://twitter.com/dog_rates/status/882992080364220416/photo/1",2017-07-06 15:58:11,882992080364220416,13
Gus,Labrador Retriever,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,12,This is Gus. He's quite the cheeky pupper. Already perfected the disinterested wink. 12/10 would let steal my girl ,5134,28903,https://twitter.com/dog_rates/status/882762694511734784/photo/1,2017-07-06 00:46:41,882762694511734784,12
Stanley,Pembroke,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,13,This is Stanley. He has his first swim lesson today. Doggle straps adjusted. Ready to go. 13/10 Phelps is nervous (IG: stanleythe_corgi) ,6342,28382,https://twitter.com/dog_rates/status/882627270321602560/photo/1,2017-07-05 15:48:34,882627270321602560,13
Alfy,Golden Retriever,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,13,This is Alfy. You're witnessing his first watermelon experience. I think it was a success. 13/10 happy 4th Alfy 🇺🇸 ,12118,45880,"https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1,https://twitter.com/dog_rates/status/882268110199369728/photo/1",2017-07-04 16:01:23,882268110199369728,13
Koko,Golden Retriever,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,13,"This is Koko. Her owner, inspired by Barney, recently built a cart for her to use during walks if she got tired. 13/10 rest easy Koko ",5203,29900,"https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1,https://twitter.com/dog_rates/status/882045870035918850/photo/1",2017-07-04 01:18:17,882045870035918850,13
Rey,Weimaraner,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,12,This is Rey. He's a Benebop Cumberfloof. 12/10 dangerously pettable ,3533,24773,https://twitter.com/dog_rates/status/881906580714921986/photo/1,2017-07-03 16:04:48,881906580714921986,12
Gary,Saluki,https://pbs.twimg.com/media/DDxPFwbWAAEbVVR.jpg,13,This is Gary. He couldn't miss this puppertunity for a selfie. Flawless focusing skills. 13/10 would boop intensely ,11099,51522,https://twitter.com/dog_rates/status/881666595344535552/photo/1,2017-07-03 00:11:11,881666595344535552,13
Louis,Not A Dog,https://pbs.twimg.com/media/DDm2Z5aXUAEDS2u.jpg,13,This is Louis. He's crossing. It's a big deal. 13/10 h*ckin breathtaking ,2886,17346,https://twitter.com/dog_rates/status/880935762899988482/photo/1,2017-06-30 23:47:07,880935762899988482,13
Bella,Golden Retriever,https://pbs.twimg.com/media/DDgK-J4XUAIEV9W.jpg,12,This is Bella. She had her first beach experience this morning. Complete success. 12/10 would perform a sandy boop ,6546,29075,"https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1,https://twitter.com/dog_rates/status/880465832366813184/photo/1",2017-06-29 16:39:47,880465832366813184,12
Romeo,Basset,https://pbs.twimg.com/media/DDXmPrbWAAEKMvy.jpg,13,This is Romeo. He would like to do an entrance. Requesting your immediate assistance. 13/10 ,3642,22667,"https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1,https://twitter.com/dog_rates/status/879862464715927552/photo/1",2017-06-28 00:42:13,879862464715927552,13
Bailey,German Short Haired Pointer,https://pbs.twimg.com/media/DDSVWMvXsAEgmMK.jpg,12,This is Bailey. He thinks you should measure ear length for signs of growth instead. 12/10 ,3323,23822,https://twitter.com/dog_rates/status/879492040517615616/photo/1,2017-06-27 00:10:17,879492040517615616,12
Duddles,English Springer,https://pbs.twimg.com/ext_tw_video_thumb/879415784908390401/pu/img/cX7XI1TnUsseGET5.jpg,13,This is Duddles. He did an attempt. 13/10 someone help him (vid by Georgia Felici) ,45849,107956,https://twitter.com/dog_rates/status/879415818425184262/video/1,2017-06-26 19:07:24,879415818425184262,13
Jack,Labrador Retriever,https://pbs.twimg.com/media/DDQsQGFV0AAw6u9.jpg,12,This is Jack AKA Stephen Furry. You're not scoring on him. Unless he slips down the slide. 12/10 would happily get blocked by ,3261,17099,https://twitter.com/dog_rates/status/879376492567855104/photo/1,2017-06-26 16:31:08,879376492567855104,12
Steven,Not A Dog,https://pbs.twimg.com/media/DDMD_phXoAQ1qf0.jpg,11,This is Steven. He has trouble relating to other dogs. Quite shy. Neck longer than average. Tropical probably. 11/10 would still pet ,4941,23022,https://twitter.com/dog_rates/status/879050749262655488/photo/1,2017-06-25 18:56:45,879050749262655488,11
Beau,Vizsla,https://pbs.twimg.com/media/DDLdUrqXYAMOVzY.jpg,13,This is Beau. That is Beau's balloon. He takes it everywhere. 13/10 would protect at all costs ,2812,19317,https://twitter.com/dog_rates/status/879008229531029506/photo/1,2017-06-25 16:07:47,879008229531029506,13
Snoopy,Italian Greyhound,https://pbs.twimg.com/media/DDIKMXzW0AEibje.jpg,13,This is Snoopy. He's a proud #PrideMonthPuppo. Impeccable handwriting for not having thumbs. 13/10 would love back #PrideMonth ,4319,19763,"https://twitter.com/dog_rates/status/878776093423087618/photo/1,https://twitter.com/dog_rates/status/878776093423087618/photo/1",2017-06-25 00:45:22,878776093423087618,13
Emmy,French Bulldog,https://pbs.twimg.com/media/DC98vABUIAA97pz.jpg,14,This is Emmy. She was adopted today. Massive round of pupplause for Emmy and her new family. 14/10 for all involved ,7181,42876,"https://twitter.com/dog_rates/status/878057613040115712/photo/1,https://twitter.com/dog_rates/status/878057613040115712/photo/1",2017-06-23 01:10:23,878057613040115712,14
Aja,Chesapeake Bay Retriever,https://pbs.twimg.com/media/DC5YqoQW0AArOLH.jpg,13,This is Aja. She was just told she's a good dog. Suspicions confirmed. 13/10 would tell again ,17300,71144,"https://twitter.com/dog_rates/status/877736472329191424/photo/1,https://twitter.com/dog_rates/status/877736472329191424/photo/1",2017-06-22 03:54:17,877736472329191424,13
Penny,Basset,https://pbs.twimg.com/media/DC20wEcW0AAf59m.jpg,12,This is Penny. She's both pupset and fired pup. Not pleased w your barbaric attempts at cleanliness. 12/10 would enjoy more shampoo options ,3994,23258,https://twitter.com/dog_rates/status/877556246731214848/photo/1,2017-06-21 15:58:08,877556246731214848,12
Nelly,Pembroke,https://pbs.twimg.com/media/DCxyahJWsAAddSC.jpg,12,This is Nelly. He graduated with his dogtorate today. Wants to know if you're proud of him. 12/10 would give congratulatory boop ,5880,27755,"https://twitter.com/dog_rates/status/877201837425926144/photo/1,https://twitter.com/dog_rates/status/877201837425926144/photo/1",2017-06-20 16:29:50,877201837425926144,12
Ginger,Bloodhound,https://pbs.twimg.com/media/DCsnnZsVwAEfkyi.jpg,12,This is Ginger. She's having a ruff Monday. Too many pupper things going on. H*ckin exhausting. 12/10 would snug passionately ,3506,21125,"https://twitter.com/dog_rates/status/876838120628539392/photo/1,https://twitter.com/dog_rates/status/876838120628539392/photo/1",2017-06-19 16:24:33,876838120628539392,12
Benedict,Golden Retriever,https://pbs.twimg.com/media/DCnll_dUQAAkBdG.jpg,13,This is Benedict. He wants to thank you for this delightful urban walk. Hopes you know he loves you. 13/10 super duper good boy ,2511,19163,https://twitter.com/dog_rates/status/876484053909872640/photo/1,2017-06-18 16:57:37,876484053909872640,13
Goose,Labrador Retriever,https://pbs.twimg.com/media/DCdH8YpUQAAiEbL.jpg,13,"This is Goose. He's a womanizer. Cheeky as h*ck, but also deep. Tongue slip game on another level. 13/10 will steal your girl ",4497,25773,https://twitter.com/dog_rates/status/875747767867523072/photo/1,2017-06-16 16:11:53,875747767867523072,13
Jed,Cocker Spaniel,https://pbs.twimg.com/media/DCIgSR0XgAANEOY.jpg,13,This is Jed. He may be the fanciest pupper in the game right now. Knows it too. 13/10 would sign modeling contract ,4308,26651,https://twitter.com/dog_rates/status/874296783580663808/photo/1,2017-06-12 16:06:11,874296783580663808,13
Sebastian,Cardigan,https://pbs.twimg.com/media/DCEeLxjXsAAvNSM.jpg,13,"This is Sebastian. He can't see all the colors of the rainbow, but he can see that this flag makes his human happy. 13/10 #PrideMonth puppo ",11007,35501,"https://twitter.com/dog_rates/status/874012996292530176/photo/1,https://twitter.com/dog_rates/status/874012996292530176/photo/1",2017-06-11 21:18:31,874012996292530176,13
Sierra,Vizsla,https://pbs.twimg.com/media/DB5HTBGXUAE0TiK.jpg,12,"This is Sierra. She's one precious pupper. Absolute 12/10. Been in and out of ICU her whole life. Help Sierra below

 ",1667,7467,"https://www.gofundme.com/help-my-baby-sierra-get-better,https://twitter.com/dog_rates/status/873213775632977920/photo/1,https://twitter.com/dog_rates/status/873213775632977920/photo/1",2017-06-09 16:22:42,873213775632977920,12
Monkey,Cocker Spaniel,https://pbs.twimg.com/media/DBwr_hzXkAEnZBW.jpg,13,This is Monkey. She's supporting owners everywhere with her fancy #PrideMonth bandana. 13/10 love is love is love... ,3911,21309,https://twitter.com/dog_rates/status/872620804844003328/photo/1,2017-06-08 01:06:27,872620804844003328,13
Harry,Labrador Retriever,https://pbs.twimg.com/media/DBrlZk2UQAAfAkd.jpg,13,This is Harry. His ears are activated one at a time. Incredibly rare to witness in person. Very special moment here. 13/10 blessed as h*ck ,6649,35085,"https://twitter.com/dog_rates/status/872261713294495745/photo/1,https://twitter.com/dog_rates/status/872261713294495745/photo/1",2017-06-07 01:19:32,872261713294495745,13
Kody,Pug,https://pbs.twimg.com/media/DBpm-5UXcAUeCru.jpg,12,This is Kody. He's a baller. Wishes he was a little bit taller. Double dribbles often. Still 12/10 would happily get dunked on ,8549,35324,"https://twitter.com/dog_rates/status/872122724285648897/photo/1,https://twitter.com/dog_rates/status/872122724285648897/photo/1",2017-06-06 16:07:15,872122724285648897,12
Rover,Labrador Retriever,https://pbs.twimg.com/media/DBkfY58XcAEdzZy.jpg,12,This is Rover. As part of pupper protocol he had to at least attempt to eat the plant. Confirmed not tasty. Needs peanut butter. 12/10 ,3678,20787,"https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1,https://twitter.com/dog_rates/status/871762521631449091/photo/1",2017-06-05 16:15:56,871762521631449091,12
Napolean,Komondor,https://pbs.twimg.com/media/DBg_HT9WAAEeIMM.jpg,12,This is Napolean. He's a Raggedy East Nicaraguan Zoom Zoom. Runs on one leg. Built for deception. No eyes. Good with kids. 12/10 great doggo ,3628,20730,"https://twitter.com/dog_rates/status/871515927908634625/photo/1,https://twitter.com/dog_rates/status/871515927908634625/photo/1",2017-06-04 23:56:03,871515927908634625,12
Boomer,Kelpie,https://pbs.twimg.com/media/DBaHi3YXgAE6knM.jpg,13,"This is Boomer. He's doing an advanced water takeoff. The opposite of Sully. Ears for control, mlem for style. 13/10 simply breathtaking ",3999,23255,https://twitter.com/dog_rates/status/871032628920680449/photo/1,2017-06-03 15:55:36,871032628920680449,13
Cody,Pembroke,https://pbs.twimg.com/media/DBUxSSTXsAA-Jn1.jpg,13,"This is Cody. He zoomed too aggressively and tore his ACL. Happens to the best of us. Still 13/10

Help Cody here:  ",2817,12819,"https://www.gofundme.com/help-fix-codys-torn-acl,https://twitter.com/dog_rates/status/870656317836468226/photo/1,https://twitter.com/dog_rates/status/870656317836468226/photo/1,https://twitter.com/dog_rates/status/870656317836468226/photo/1,https://twitter.com/dog_rates/status/870656317836468226/photo/1",2017-06-02 15:00:16,870656317836468226,13
Zoey,Golden Retriever,https://pbs.twimg.com/media/DBQwlFCXkAACSkI.jpg,13,This is Zoey. She really likes the planet. Would hate to see willful ignorance and the denial of fairly elemental science destroy it. 13/10 ,27680,85011,https://twitter.com/dog_rates/status/870374049280663552/photo/1,2017-06-01 20:18:38,870374049280663552,13
"Rumble,",Greater Swiss Mountain Dog,https://pbs.twimg.com/media/DBP1asiUAAEKZI5.jpg,13,"This is Rumble, but he's not ready to. Would rather fall asleep in his bath bucket. 13/10 would attempt a boop without waking ",4384,22453,"https://twitter.com/dog_rates/status/870308999962521604/photo/1,https://twitter.com/dog_rates/status/870308999962521604/photo/1",2017-06-01 16:00:09,870308999962521604,13
Dewey,Pembroke,https://pbs.twimg.com/media/DBINZcxXgAQ-R6P.jpg,13,"This is Dewey (pronounced ""covfefe""). He's having a good walk. Arguably the best walk. 13/10 would snug softly ",10663,43710,https://twitter.com/dog_rates/status/869772420881756160/photo/1,2017-05-31 04:27:59,869772420881756160,13
Scout,Chihuahua,https://pbs.twimg.com/media/DBFtiYqWAAAsjj1.jpg,12,This is Scout. He just graduated. Officially a doggo now. Have fun with taxes and losing sight of your ambitions. 12/10 would throw cap for ,3327,16476,"https://twitter.com/dog_rates/status/869596645499047938/photo/1,https://twitter.com/dog_rates/status/869596645499047938/photo/1",2017-05-30 16:49:31,869596645499047938,12
Gizmo,Pembroke,https://pbs.twimg.com/media/DBAePiVXcAAqHSR.jpg,13,This is Gizmo. His favorite thing is standing pupright like a hooman. Sneaky tongue slip status achieved. 13/10 would boop well ,4023,21112,https://twitter.com/dog_rates/status/869227993411051520/photo/1,2017-05-29 16:24:37,869227993411051520,13
Walter,French Bulldog,https://pbs.twimg.com/media/DA7iHL5U0AA1OQo.jpg,14,This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter ,12518,55098,https://twitter.com/dog_rates/status/868880397819494401/photo/1,2017-05-28 17:23:24,868880397819494401,14
Shikha,Eskimo Dog,https://pbs.twimg.com/media/DAmyy8FXYAIH8Ty.jpg,12,This is Shikha. She just watched you drop a skittle on the ground and still eat it. Could not be less impressed. 12/10 superior puppo ,2697,16755,https://twitter.com/dog_rates/status/867421006826221569/photo/1,2017-05-24 16:44:18,867421006826221569,12
Lili,Flat Coated Retriever,https://pbs.twimg.com/media/DAcXEWuXkAIBDGJ.jpg,12,This is Lili. She can't believe you betrayed her with bath time. Never looking you in the eye again. 12/10 would puppologize profusely ,3727,20070,"https://twitter.com/dog_rates/status/866686824827068416/photo/1,https://twitter.com/dog_rates/status/866686824827068416/photo/1",2017-05-22 16:06:55,866686824827068416,12
Jamesy,French Bulldog,https://pbs.twimg.com/media/DAZAUfBXcAAG_Nn.jpg,13,"This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender ",32883,106827,"https://twitter.com/dog_rates/status/866450705531457537/photo/1,https://twitter.com/dog_rates/status/866450705531457537/photo/1",2017-05-22 00:28:40,866450705531457537,13
Coco,Samoyed,https://pbs.twimg.com/media/DAXXDQNXgAAoYQH.jpg,12,This is Coco. At first I thought she was a cloud but clouds don't bork with such passion. 12/10 would hug softly ,15546,54720,"https://twitter.com/dog_rates/status/866334964761202691/photo/1,https://twitter.com/dog_rates/status/866334964761202691/photo/1",2017-05-21 16:48:45,866334964761202691,12
Sammy,Chesapeake Bay Retriever,https://pbs.twimg.com/media/DAJfxqGVoAAnvQt.jpg,13,This is Sammy. Her tongue ejects without warning sometimes. It's a serious condition. Needs a hefty dose from a BlepiPen. 13/10 ,5384,27530,"https://twitter.com/dog_rates/status/865359393868664832/photo/1,https://twitter.com/dog_rates/status/865359393868664832/photo/1",2017-05-19 00:12:11,865359393868664832,13
Nelly,Pembroke,https://pbs.twimg.com/media/DAEfCFXUIAA1uqj.jpg,13,This is Nelly. He really hopes you like his Hawaiian shirt. He already tore the tags off. 13/10 h*ck of a puppurchase ,8209,29063,https://twitter.com/dog_rates/status/865006731092295680/photo/1,2017-05-18 00:50:50,865006731092295680,13
Meatball,Bull Mastiff,https://pbs.twimg.com/media/C_6JrWZVwAAHhCD.jpg,12,This is Meatball. He doing what's known in the industry as a mid-strut mlem. H*ckin fancy boy. 12/10 I'd do anything for Meatball ,3266,15195,"https://twitter.com/dog_rates/status/864279568663928832/photo/1,https://twitter.com/dog_rates/status/864279568663928832/photo/1",2017-05-16 00:41:21,864279568663928832,12
Paisley,Golden Retriever,https://pbs.twimg.com/media/C_4-8iPV0AA1Twg.jpg,13,This is Paisley. She ate a flower just to prove she could. Savage af. 13/10 would pet so well ,9616,31459,"https://twitter.com/dog_rates/status/864197398364647424/photo/1,https://twitter.com/dog_rates/status/864197398364647424/photo/1,https://twitter.com/dog_rates/status/864197398364647424/photo/1,https://twitter.com/dog_rates/status/864197398364647424/photo/1",2017-05-15 19:14:50,864197398364647424,13
Albus,Not A Dog,https://pbs.twimg.com/media/C_03NPeUQAAgrMl.jpg,13,This is Albus. He's quite impressive at hide and seek. Knows he's been found this time. 13/10 usually elusive as h*ck ,4441,21477,"https://twitter.com/dog_rates/status/863907417377173506/photo/1,https://twitter.com/dog_rates/status/863907417377173506/photo/1",2017-05-15 00:02:33,863907417377173506,13
Neptune,Eskimo Dog,https://pbs.twimg.com/ext_tw_video_thumb/863553036815355904/pu/img/B6Dos-XOD8l82tK7.jpg,13,This is Neptune. He's a backpup vocalist for the Dixie Chicks. 13/10 (vid by @AmiWinehouse) ,4489,15935,https://twitter.com/dog_rates/status/863553081350529029/video/1,2017-05-14 00:34:33,863553081350529029,13
Belle,Staffordshire Bullterrier,https://pbs.twimg.com/media/C_uG6eAUAAAvMvR.jpg,12,This is Belle. She's never been more pupset. Encountered the worst imaginable type of zone. 12/10 would do anything to cheer pup ,5664,24829,https://twitter.com/dog_rates/status/863432100342583297/photo/1,2017-05-13 16:33:49,863432100342583297,12
Zooey,Australian Terrier,https://pbs.twimg.com/media/C_lkieeVwAAm0L4.jpg,13,"This is Zooey. She's the world's biggest fan of illiterate delivery people. 13/10 not your fault they don't listen, Zooey ",5457,20011,"https://twitter.com/dog_rates/status/862831371563274240/photo/1,https://twitter.com/dog_rates/status/862831371563274240/photo/1",2017-05-12 00:46:44,862831371563274240,13
Dave,Basset,https://pbs.twimg.com/media/C_kBjuUUIAArs2-.jpg,11,"This is Dave. He passed the h*ck out. It's barely the afternoon on a Thursday, Dave. Get it together. Still 11/10 would boop mid-snooze ",3809,17779,https://twitter.com/dog_rates/status/862722525377298433/photo/1,2017-05-11 17:34:13,862722525377298433,11
Jersey,Not A Dog,https://pbs.twimg.com/media/C_gQmaTUMAAPYSS.jpg,13,"This is Jersey. He likes to watch movies, but only if you watch with him. Enjoys horror films like The Bababork and H*ckraiser. 13/10 ",5388,21492,"https://twitter.com/dog_rates/status/862457590147678208/photo/1,https://twitter.com/dog_rates/status/862457590147678208/photo/1,https://twitter.com/dog_rates/status/862457590147678208/photo/1",2017-05-11 00:01:27,862457590147678208,13
